geracao;minFitness;maxFitness;avgFitness;time
664;15903;26268;18375;4.797896
665;15880;26738;18437;4.805399
666;15880;26514;18109;4.812924
667;15880;26002;18492;4.820826
668;15838;26135;18133;4.828475
669;15838;26024;18657;4.836860
670;15838;26081;18754;4.845079
671;15838;26159;18593;4.853786
672;15838;26182;19049;4.861783
673;15838;26470;18847;4.869675
674;15838;26458;18375;4.877981
675;15838;26021;18581;4.886679
676;15838;25965;18299;4.895401
677;15838;26517;18461;4.903289
678;15838;26694;18361;4.911174
679;15838;26155;18459;4.919094
680;15816;26349;18487;4.927346
681;15816;26374;18266;4.935201
682;15816;25697;18702;4.943373
683;15807;25618;18467;4.951358
684;15807;26274;18833;4.959674
685;15807;25866;18806;4.966924
686;15807;26369;18741;4.973897
687;15807;26294;18591;4.981096
688;15807;26419;18346;4.988509
689;15778;26456;18408;4.995606
690;15778;26271;18200;5.002757
691;15778;26296;18520;5.010250
692;15778;26133;18518;5.016488
693;15778;26370;18258;5.024087
694;15778;25894;18584;5.031389
695;15778;26804;18887;5.039195
696;15770;26366;18686;5.046774
697;15770;26108;18653;5.054479
698;15721;26099;18090;5.061798
699;15721;26503;18086;5.068996
700;15713;26101;18009;5.076103
701;15713;26181;18546;5.083329
702;15713;25959;18500;5.090351
703;15713;26315;18262;5.097786
704;15713;26264;18411;5.104873
705;15713;26186;18469;5.112521
706;15713;26085;18152;5.119639
707;15687;26454;18038;5.127038
708;15687;26239;18361;5.132572
709;15687;25824;18447;5.137541
710;15687;26236;18169;5.142169
711;15687;25564;18122;5.146368
712;15687;26139;17909;5.150120
713;15687;26052;18127;5.153809
714;15687;25705;18257;5.157221
715;15687;26093;18219;5.160932
716;15687;26569;18113;5.164403
717;15687;26412;18142;5.167838
718;15687;25994;18005;5.171225
719;15687;25940;18350;5.174827
720;15687;26223;18589;5.178411
721;15687;26017;18850;5.182203
722;15687;26146;18246;5.185753
723;15687;26468;18265;5.189810
724;15687;26492;18398;5.194206
725;15687;26207;18404;5.198395
726;15687;25809;18540;5.203456
727;15687;26193;18545;5.208933
728;15687;26266;18205;5.214663
729;15687;26157;18556;5.221586
730;15687;26465;19063;5.228898
731;15687;26026;18242;5.236139
732;15687;25883;18146;5.243225
733;15687;25865;18264;5.252246
734;15687;26388;18332;5.260964
735;15687;26278;18598;5.269795
736;15687;25861;18246;5.277860
737;15687;26220;18481;5.286149
738;15687;26664;18404;5.294185
739;15687;26148;17958;5.302313
740;15687;26222;17889;5.309850
741;15687;26149;18415;5.317935
742;15687;26588;18128;5.325872
743;15652;26003;18005;5.334268
744;15652;26026;18154;5.342383
745;15652;25641;18379;5.351014
746;15652;26854;18490;5.358305
747;15652;26290;18516;5.366052
748;15652;25820;18244;5.373074
749;15652;25926;18027;5.380608
750;15652;25927;18127;5.387652
751;15652;26063;18359;5.394824
752;15652;25827;17982;5.400144
753;15652;26153;18105;5.406381
754;15652;25995;18041;5.410391
755;15652;26169;18224;5.414099
756;15652;26253;18391;5.418006
757;15652;26034;18505;5.422981
758;15652;26169;18054;5.427164
759;15644;26245;17982;5.431316
760;15638;26584;18310;5.435431
761;15616;26353;18235;5.439402
762;15616;25993;18037;5.444441
763;15616;26521;18088;5.448688
764;15616;26463;18015;5.452789
765;15616;26125;18265;5.456809
766;15616;26117;18451;5.461040
767;15616;26698;18400;5.466121
768;15616;26193;18192;5.471427
769;15616;26368;18306;5.476571
770;15616;26279;17995;5.484165
771;15616;26313;17958;5.488313
772;15616;25720;18121;5.492372
773;15614;26121;18315;5.496394
774;15586;26461;18222;5.500776
775;15586;26430;18257;5.506496
776;15584;26293;18227;5.511820
777;15584;26304;18486;5.516936
778;15584;26044;18322;5.521583
779;15584;25599;18349;5.525885
780;15584;26214;18122;5.530685
781;15584;26318;18355;5.535166
782;15584;26084;17941;5.539643
783;15584;26781;18295;5.544963
784;15584;26372;18249;5.549799
785;15584;25810;18218;5.553952
786;15584;26171;18130;5.560214
787;15584;25922;18318;5.565679
788;15584;26455;18464;5.571196
789;15584;26750;18546;5.575918
790;15584;26291;18346;5.581630
791;15584;26797;18303;5.586302
792;15584;26890;18288;5.591082
793;15584;26353;18192;5.596193
794;15536;25726;17939;5.601374
795;15536;26245;17987;5.606182
796;15536;26256;18231;5.610868
797;15518;26855;18141;5.615514
798;15505;26630;17967;5.620007
799;15505;26097;18095;5.625365
800;15484;26291;17885;5.630234
801;15478;26625;17809;5.634924
802;15477;26136;17964;5.639470
803;15477;26635;18027;5.643743
804;15477;25910;17999;5.648263
805;15477;25878;17913;5.652876
806;15477;25991;18511;5.656809
807;15477;25760;18227;5.660671
808;15477;25932;18385;5.664431
809;15477;25980;18399;5.668290
810;15477;26392;18326;5.672154
811;15477;25849;18307;5.675915
812;15477;26132;18362;5.679683
813;15477;26587;18040;5.684080
814;15477;26253;18423;5.689694
815;15477;26124;18376;5.693875
816;15477;26244;18229;5.697862
817;15477;26561;17817;5.701949
818;15477;26252;17962;5.705932
819;15477;26016;17853;5.709720
820;15477;26464;18445;5.713699
821;15477;25883;18257;5.717583
822;15477;26426;18225;5.721478
823;15477;26321;17749;5.725227
824;15477;26566;18075;5.729736
825;15447;26438;18071;5.733570
826;15447;26309;18291;5.737383
827;15447;26268;18419;5.741182
828;15447;25986;18071;5.745168
829;15447;25924;18318;5.749191
830;15412;26152;18304;5.753052
831;15412;26000;18249;5.756856
832;15412;26602;18475;5.760910
833;15412;26111;18342;5.765162
834;15412;26051;18408;5.769304
835;15412;26462;18035;5.773298
836;15412;26318;18260;5.777553
837;15412;26026;18121;5.781719
838;15384;26254;18294;5.786395
839;15384;26361;18212;5.791103
840;15380;26399;17908;5.796450
841;15349;26321;17968;5.801723
842;15349;25984;18277;5.807034
843;15349;26141;17988;5.812482
844;15349;26280;18243;5.817902
845;15294;25936;18194;5.823542
846;15294;26155;18205;5.828977
847;15294;26365;17903;5.834217
848;15294;26166;17923;5.840654
849;15294;26538;17504;5.846797
850;15294;26069;17969;5.854074
851;15294;26288;18227;5.861335
852;15294;26014;17776;5.868472
853;15294;26242;17930;5.875580
854;15294;26339;18327;5.882668
855;15294;26168;17972;5.889663
856;15294;25718;17779;5.897487
857;15294;26552;17921;5.905078
858;15294;26114;18011;5.912636
859;15294;26124;17731;5.920242
860;15243;26870;17910;5.927790
861;15243;25967;17947;5.935959
862;15243;26391;18158;5.943610
863;15243;26546;18093;5.951619
864;15243;26405;17673;5.959448
865;15184;26106;17842;5.967493
866;15184;25980;18044;5.975250
867;15184;26490;17768;5.983403
868;15184;26751;18105;5.990659
